begin,end,title,points,assigned
FE00,FE0F,Variation Selectors,16,16
FE10,FE1F,Vertical Forms,16,10
FE20,FE2F,Combining Half Marks,16,16
FE30,FE4F,CJK Compatibility Forms,32,32
FE50,FE6F,Small Form Variants,32,26
FE70,FEFF,Arabic Presentation Forms-B,144,141
FF00,FFEF,Halfwidth and Fullwidth Forms,240,225
FFF0,FFFF,Specials,16,5
10000,1007F,Linear B Syllabary,128,88
10080,100FF,Linear B Ideograms,128,123
10100,1013F,Aegean Numbers,64,57
10140,1018F,Ancient Greek Numbers,80,79
10190,101CF,Ancient Symbols,64,14
101D0,101FF,Phaistos Disc,48,46
10280,1029F,Lycian,32,29
102A0,102DF,Carian,64,49
102E0,102FF,Coptic Epact Numbers,32,28
10300,1032F,Old Italic,48,39
10330,1034F,Gothic,32,27
10350,1037F,Old Permic,48,43
10380,1039F,Ugaritic,32,31
103A0,103DF,Old Persian,64,50
10400,1044F,Deseret,80,80
10450,1047F,Shavian,48,48
10480,104AF,Osmanya,48,40
104B0,104FF,Osage,80,72
10500,1052F,Elbasan,48,40
10530,1056F,Caucasian Albanian,64,53
10570,105BF,Vithkuqi,80,70
10600,1077F,Linear A,384,341
10780,107BF,Latin Extended-F,64,57
10800,1083F,Cypriot Syllabary,64,55
10840,1085F,Imperial Aramaic,32,31
10860,1087F,Palmyrene,32,32
10880,108AF,Nabataean,48,40
108E0,108FF,Hatran,32,26
10900,1091F,Phoenician,32,29
10920,1093F,Lydian,32,27
10980,1099F,Meroitic Hieroglyphs,32,32
109A0,109FF,Meroitic Cursive,96,90
10A00,10A5F,Kharoshthi,96,68
10A60,10A7F,Old South Arabian,32,32
10A80,10A9F,Old North Arabian,32,32
10AC0,10AFF,Manichaean,64,51
10B00,10B3F,Avestan,64,61
10B40,10B5F,Inscriptional Parthian,32,30
10B60,10B7F,Inscriptional Pahlavi,32,27
10B80,10BAF,Psalter Pahlavi,48,29
10C00,10C4F,Old Turkic,80,73
10C80,10CFF,Old Hungarian,128,108
10D00,10D3F,Hanifi Rohingya,64,50
10E60,10E7F,Rumi Numeral Symbols,32,31
10E80,10EBF,Yezidi,64,47
10F00,10F2F,Old Sogdian,48,40
10F30,10F6F,Sogdian,64,42
10F70,10FAF,Old Uyghur,64,26
10FB0,10FDF,Chorasmian,48,28
10FE0,10FFF,Elymaic,32,23
11000,1107F,Brahmi,128,115
11080,110CF,Kaithi,80,68
110D0,110FF,Sora Sompeng,48,35
11100,1114F,Chakma,80,71
11150,1117F,Mahajani,48,39
11180,111DF,Sharada,96,96
111E0,111FF,Sinhala Archaic Numbers,32,20
11200,1124F,Khojki,80,62
11280,112AF,Multani,48,38
112B0,112FF,Khudawadi,80,69
11300,1137F,Grantha,128,86
11400,1147F,Newa,128,97
11480,114DF,Tirhuta,96,82
11580,115FF,Siddham,128,92
11600,1165F,Modi,96,79
11660,1167F,Mongolian Supplement,32,13
11680,116CF,Takri,80,68
11700,1174F,Ahom,80,65
11800,1184F,Dogra,80,60
118A0,118FF,Warang Citi,96,84
11900,1195F,Dives Akuru,96,72
119A0,119FF,Nandinagari,96,65
11A00,11A4F,Zanabazar Square,80,72
11A50,11AAF,Soyombo,96,83
11AB0,11ABF,Unified Canadian Aboriginal Syllabics Extended-A,16,16
11AC0,11AFF,Pau Cin Hau,64,57
11C00,11C6F,Bhaiksuki,112,97
11C70,11CBF,Marchen,80,68
11D00,11D5F,Masaram Gondi,96,75
11D60,11DAF,Gunjala Gondi,80,63
11EE0,11EFF,Makasar,32,25
11FB0,11FBF,Lisu Supplement,16,1
11FC0,11FFF,Tamil Supplement,64,51
12000,123FF,Cuneiform,1024,922
12400,1247F,Cuneiform Numbers and Punctuation,128,116
12480,1254F,Early Dynastic Cuneiform,208,196
12F90,12FFF,Cypro-Minoan,112,99
13000,1342F,Egyptian Hieroglyphs,1072,1071
13430,1343F,Egyptian Hieroglyph Format Controls,16,9
14400,1467F,Anatolian Hieroglyphs,640,583
16800,16A3F,Bamum Supplement,576,569
16A40,16A6F,Mro,48,43
16A70,16ACF,Tangsa,96,89
16AD0,16AFF,Bassa Vah,48,36
16B00,16B8F,Pahawh Hmong,144,127
16E40,16E9F,Medefaidrin,96,91
16F00,16F9F,Miao,160,149
16FE0,16FFF,Ideographic Symbols and Punctuation,32,7
17000,187FF,Tangut,6144,6136
18800,18AFF,Tangut Components,768,768
18B00,18CFF,Khitan Small Script,512,470
18D00,18D7F,Tangut Supplement,128,9
1AFF0,1AFFF,Kana Extended-B,16,13
1B000,1B0FF,Kana Supplement,256,256
1B100,1B12F,Kana Extended-A,48,35
1B130,1B16F,Small Kana Extension,64,7
1B170,1B2FF,Nushu,400,396
1BC00,1BC9F,Duployan,160,143
1BCA0,1BCAF,Shorthand Format Controls,16,4
1CF00,1CFCF,Znamenny Musical Notation,208,185
1D000,1D0FF,Byzantine Musical Symbols,256,246
1D100,1D1FF,Musical Symbols,256,233
1D200,1D24F,Ancient Greek Musical Notation,80,70
1D2E0,1D2FF,Mayan Numerals,32,20
1D300,1D35F,Tai Xuan Jing Symbols,96,87
1D360,1D37F,Counting Rod Numerals,32,25
1D400,1D7FF,Mathematical Alphanumeric Symbols,1024,996
1D800,1DAAF,Sutton SignWriting,688,672
1DF00,1DFFF,Latin Extended-G,256,31
1E000,1E02F,Glagolitic Supplement,48,38
1E100,1E14F,Nyiakeng Puachue Hmong,80,71
1E290,1E2BF,Toto,48,31
1E2C0,1E2FF,Wancho,64,59
1E7E0,1E7FF,Ethiopic Extended-B,32,28
1E800,1E8DF,Mende Kikakui,224,213
1E900,1E95F,Adlam,96,88
1EC70,1ECBF,Indic Siyaq Numbers,80,68
1ED00,1ED4F,Ottoman Siyaq Numbers,80,61
1EE00,1EEFF,Arabic Mathematical Alphabetic Symbols,256,143
1F000,1F02F,Mahjong Tiles,48,44
1F030,1F09F,Domino Tiles,112,100
1F0A0,1F0FF,Playing Cards,96,82
1F100,1F1FF,Enclosed Alphanumeric Supplement,256,200
1F200,1F2FF,Enclosed Ideographic Supplement,256,64
1F300,1F5FF,Miscellaneous Symbols and Pictographs,768,768
1F600,1F64F,Emoticons,80,80
1F650,1F67F,Ornamental Dingbats,48,48
1F680,1F6FF,Transport and Map Symbols,128,117
1F700,1F77F,Alchemical Symbols,128,116
1F780,1F7FF,Geometric Shapes Extended,128,102
1F800,1F8FF,Supplemental Arrows-C,256,150
1F900,1F9FF,Supplemental Symbols and Pictographs,256,256
1FA00,1FA6F,Chess Symbols,112,98
1FA70,1FAFF,Symbols and Pictographs Extended-A,144,88
1FB00,1FBFF,Symbols for Legacy Computing,256,212
