name, url, desc, tag
42matters, https://42matters.com, 移动应用数据服务, 付费
pictus, https://pictus.software.informer.com/download/, 图片预览软件, WIN
写作猫, https://xiezuocat.com/#/, 写作辅助服务, 语法检查
